store_and_foward;payment_type_id;congestion_surcharge;dropoff_borough;dropoff_datetime;dropoff_location_id;dropoff_service_zone;dropoff_zone;extra;fare_amount;improvement_surcharge;mta_tax;origin;origin_id;passenger_count;payment_type;pickup_borough;pickup_datetime;pickup_location_id;pickup_service_zone;pickup_zone;ratecode;ratecode_id;tip_amount;tolls_amount;total_amount;trip_distance_mi;trip_type;trip_type_id;vendor;vendor_id;airport_fee
N;2;2.5;Manhattan;2023-03-30T16:23:42.000000;238;Yellow Zone;Upper West Side North;2.5;22.6;1.0;0.5;TPEP;1;5;Cash;Manhattan;2023-03-30T15:57:57.000000;238;Yellow Zone;Upper West Side North;Standard rate;1;0.0;0.0;29.1;2.18;;;Curb Mobility, LLC;2;0.0
N;1;2.5;Manhattan;2023-03-29T19:05:55.000000;263;Yellow Zone;Yorkville West;5.0;5.8;1.0;0.5;TPEP;1;1;Credit card;Manhattan;2023-03-29T19:01:52.000000;140;Yellow Zone;Lenox Hill East;Standard rate;1;3.1;0.0;15.4;0.8;;;Creative Mobile Technologies, LLC;1;0.0
Y;1;2.5;Manhattan;2023-04-29T19:42:37.000000;142;Yellow Zone;Lincoln Square East;0.0;5.8;1.0;0.5;TPEP;1;1;Credit card;Manhattan;2023-04-29T19:38:47.000000;142;Yellow Zone;Lincoln Square East;Standard rate;1;2.45;0.0;12.25;0.27;;;Curb Mobility, LLC;2;0.0
N;3;-2.5;Manhattan;2023-03-12T14:31:08.000000;161;Yellow Zone;Midtown Center;0.0;-5.1;-1.0;-0.5;TPEP;1;2;No charge;Manhattan;2023-03-12T14:28:19.000000;163;Yellow Zone;Midtown North;Standard rate;1;0.0;0.0;-9.1;0.43;;;Curb Mobility, LLC;2;0.0
Y;2;2.5;Manhattan;2023-04-30T16:54:18.000000;158;Yellow Zone;Meatpacking/West Village West;2.5;19.1;1.0;0.5;TPEP;1;2;Cash;Manhattan;2023-04-30T16:35:32.000000;50;Yellow Zone;Clinton West;Standard rate;1;0.0;0.0;23.1;2.7;;;Creative Mobile Technologies, LLC;1;0.0
N;4;0.0;Queens;2023-04-18T17:20:33.000000;132;Airports;JFK Airport;-2.5;-3.0;-1.0;-0.5;TPEP;1;3;Dispute;Queens;2023-04-18T17:19:44.000000;132;Airports;JFK Airport;Standard rate;1;0.0;0.0;-8.75;0.03;;;Curb Mobility, LLC;2;-1.75
Y;4;2.5;Manhattan;2023-04-09T00:42:26.000000;48;Yellow Zone;Clinton East;3.5;7.2;1.0;0.5;TPEP;1;1;Dispute;Manhattan;2023-04-09T00:36:41.000000;163;Yellow Zone;Midtown North;Standard rate;1;0.0;0.0;12.2;1.0;;;Creative Mobile Technologies, LLC;1;0.0
N;5;0.0;Queens;2023-03-21T22:54:01.000000;173;Boro Zone;North Corona;0.0;0.0;0.0;0.0;LPEP;2;2;Unknown;Queens;2023-03-21T22:52:29.000000;173;Boro Zone;North Corona;Negotiated fare;5;0.0;0.0;0.0;0.1;Dispatch;2;Creative Mobile Technologies, LLC;1;
Y;3;0.0;Queens;2023-03-24T16:58:31.000000;193;Boro Zone;Queensbridge/Ravenswood;-2.5;-3.0;-1.0;-0.5;TPEP;1;1;No charge;Queens;2023-03-24T16:58:24.000000;193;Boro Zone;Queensbridge/Ravenswood;Standard rate;1;0.0;0.0;-7.0;0.0;;;Curb Mobility, LLC;2;0.0
Y;5;0.0;Manhattan;2023-03-20T01:00:24.000000;137;Yellow Zone;Kips Bay;0.0;0.0;0.0;0.0;TPEP;1;1;Unknown;Queens;2023-03-20T00:21:17.000000;132;Airports;JFK Airport;JFK;2;0.0;0.0;0.0;12.1;;;Creative Mobile Technologies, LLC;1;0.0
